Program,Logo,Real link,Link to Website,Link to Standards,Summary/Purpose,Area of Coverage,Farm Size/Type,Types of Crops,Standards,,,,,,,,,
Commonwealth Quality Program,,https://ag.umass.edu/sites/ag.umass.edu/files/pdf-doc-ppt/commonwealth_quality_information_0.pdf,Commonwealth Quality Program,Fruit/Vegetable Commonwealth Quality Checklist,"Commonwealth Quality Seal serves to identify locally sourced products that are grown, harvested, and processed right here in Massachusetts using practices that are safe, sustainable and don't harm the
environment. The practices are based on the UMass Extension/Massachusetts Farm Bureau/Massachusetts Department of Ag Resources Best Management Practices Guidelines. Best Management Practices include soil conservation and health, IPM, worker protection, and food safety.",Massachusetts,,,,,,,,,,,,
Sustainably Grown (SCS),,https://www.scsglobalservices.com/services/sustainably-grown-certification,Sustainably Grown Certification Program,Sustainably Grown Standard,"The Sustainably Grown framework is consistently ranked among the highest standards in independent surveys and is aligned with leading US and European standards and initiatives. The certification program is accredited by ANSI, aligned with the Global Social Compliance Programme (GSCP), and recognized by Unilever, the Sustainable Trade Initiative (IDH), and major brands, as part of their sustainable sourcing policies. Fresh fruit and vegetables, nuts, grains, and other crops have been certified in countries on four continents.",international ,all,"Fresh fruit and vegetables, nuts, grains",,,,,,,,,,
Certified pesticide residue free and SCS Certifications ,,https://www.scsglobalservices.com/services/food-safety?scscertified=1,SCS standards ,,SCS offers international certfications for all portions of the food prodution chain. Some of these certifications including the pesticide residue free certifcation are applicable to farmers. ,international ,Any ,Fruits and vegtables ,,,,,,,,,,
Equitable Food Initiative (SCS),,https://equitablefood.org/certification/,Equitable Food Initiative,EFI Standards,"The Equitable Food Initiative (EFI) cultivates a healthier, safer and more sustainable produce supply chain by combining food safety, pesticide management, and the fair treatment of workers under one certification. EFI’s coalition of growers, retailers, unions, NGOs, and consumer rights groups developed the EFI Standards, which include indicators for responsible labor and environmental practices, and increased worker involvement in food safety management.",national,,fresh fruit and vegetable crops,,,,,,,,,,
OEFFA Certification,,http://certification.oeffa.org/,OEFFA,,"The Ohio Ecological Food and Farm Association certifies farms as organic and assists them in their transitition process. Other than the organic certification, a parrellel non profit exists that provides incentives for farmers to become ecologically friendly growers. ","Ohio, Indiana, Illinois, Iowa, Missouri, Wisconsin, Michigan, Kentucky, West Virginia, Virginia, New York, Pennsylvania",Any,All,,,,,,,,,,
Michigan Agriculture Environmental Assurance Program,,https://maeap.org/,MAEAP,Standards,MAEAP is a certification program in the state of Michigan that promotes stewardship among all types farms and crops or livestock. ,Michigan ,all,all,,,,,,,,,,
Global G.A.P.,,https://www.globalgap.org/uk_en/what-we-do/globalg.a.p.-certification/,Roy Farms Global GAP,Standards ,"A Global Food Safety Initiative (GFSI) certification covers the entire crop from planting to harvesting, all the way through storage. This certification reduces food safety risks and promotes worker health and safety, conservation of natural resources and product traceability to ensure you receive a safe, ethical product.",International ,all,"Hops, Apples, Blueberries, Cherries",,,,,,,,,,
Regenerative Organic Certified ,,https://regenorganic.org/,regenorganic,Framework,"Regenerative Organic Certification is a holistic agriculture certification encompassing pasture-based animal welfare, fairness for farmers and workers, and robust requirements for soil health and land management. The Regenerative Organic Alliance will oversee the Regenerative Organic Certification framework and guidelines.",National,all,all,,,,,,,,,,
Vermont CSFO ,,https://agriculture.vermont.gov/csfo#CSFO%20DEFINITION,CSFO,Definition ,"The Vermont small farm certification ensures that small farms in the state adhere to certain regulations/standards. In the process of regulating, CSFO also provides farmers with resources for conservation and management processes. ",Vermont,small,all,,,,,,,,,,
Control Union Farm Sustainability Assesment ,,https://certifications.controlunion.com/en/certification-programs/certification-programs/fsa-farm-sustainability-assessment,CU FSA,Description ,Control Union is a global service provider for the agricultural industry and officially approved by SAI Platform to perform Farmer Sustainability Assessments (FSA). In this program we perform verification services with the supplier and the farmers they source from.,,,,,,,,,,,,,
MESAS & SYRA,,http://mesas.org/,mesas.org,SYRA,The project is a coalition of farm innovators working to improve agriculture and greenhouse infrastructure through applied research with working Maine farms. Maine has a rich history of covered agriculture innovation; we work to share knowledge and increase collaboration around season extension triumphs that are useful for wide adoption on Maine farms.,Maine,small to mid,all,,,,,,,,,,
SAI Platform,,https://saiplatform.org/fsa/,FSA,,,International ,,,,,,,,,,,,
